#{"t_start": 1734543541.0856562, "env_id": "ContinuousCartPole-v0"}
r,l,t
28.0,28,0.252353
44.0,44,0.260573
34.0,34,0.266431
39.0,39,0.273502
44.0,44,0.281612
35.0,35,0.288156
53.0,53,0.297425
41.0,41,0.304751
41.0,41,0.31215
34.0,34,0.31834
25.0,25,0.323092
43.0,43,0.330543
37.0,37,0.337316
52.0,52,0.346144
44.0,44,0.354267
32.0,32,0.360344
33.0,33,0.366339
60.0,60,0.37703
42.0,42,0.384778
28.0,28,0.389516
40.0,40,0.396284
55.0,55,0.405928
30.0,30,0.410993
38.0,38,0.418144
33.0,33,0.4243
25.0,25,0.428546
40.0,40,0.436084
26.0,26,0.440474
35.0,35,0.446284
59.0,59,0.456899
33.0,33,0.46299
31.0,31,0.468701
34.0,34,0.474925
32.0,32,0.480293
51.0,51,0.489865
25.0,25,0.494414
25.0,25,0.49872
30.0,30,0.504516
32.0,32,0.510122
91.0,91,0.526092
33.0,33,0.531683
31.0,31,0.537385
33.0,33,0.543394
27.0,27,0.548024
35.0,35,0.554236
32.0,32,0.559869
33.0,33,0.566294
72.0,72,0.579336
43.0,43,0.587158
48.0,48,0.595391
26.0,26,0.599822
30.0,30,0.60587
32.0,32,0.611745
38.0,38,1.080886
40.0,40,1.088764
33.0,33,1.094756
30.0,30,1.100596
23.0,23,1.104618
32.0,32,1.110525
30.0,30,1.115724
40.0,40,1.123257
44.0,44,1.131334
38.0,38,1.138182
48.0,48,1.146581
44.0,44,1.154591
29.0,29,1.159967
32.0,32,1.16536
57.0,57,1.175142
54.0,54,1.185095
33.0,33,1.19079
34.0,34,1.196481
35.0,35,1.203293
34.0,34,1.209381
34.0,34,1.215119
34.0,34,1.220837
41.0,41,1.228304
28.0,28,1.233288
58.0,58,1.244174
26.0,26,1.249052
33.0,33,1.25459
36.0,36,1.26083
67.0,67,1.272674
22.0,22,1.276435
37.0,37,1.283661
27.0,27,1.288577
29.0,29,1.294146
25.0,25,1.298657
29.0,29,1.304251
32.0,32,1.309776
27.0,27,1.314403
34.0,34,1.320666
48.0,48,1.329192
32.0,32,1.334974
44.0,44,1.342916
32.0,32,1.348508
43.0,43,1.355905
63.0,63,1.366925
47.0,47,1.375081
29.0,29,1.380416
34.0,34,1.386356
36.0,36,1.392562
32.0,32,1.397884
48.0,48,1.406268
41.0,41,1.41375
44.0,44,1.421982
73.0,73,1.434563
33.0,33,1.440429
29.0,29,1.895746
32.0,32,1.901699
24.0,24,1.905991
30.0,30,1.911116
31.0,31,1.917127
47.0,47,1.925487
38.0,38,1.933008
45.0,45,1.94185
56.0,56,1.953152
24.0,24,1.958256
32.0,32,1.963828
40.0,40,1.972251
75.0,75,1.987317
36.0,36,1.99346
37.0,37,2.000925
33.0,33,2.007147
23.0,23,2.011084
61.0,61,2.022833
30.0,30,2.028296
25.0,25,2.033781
34.0,34,2.040769
26.0,26,2.045424
59.0,59,2.05612
49.0,49,2.065398
33.0,33,2.072151
26.0,26,2.07693
33.0,33,2.082544
24.0,24,2.087313
30.0,30,2.092403
43.0,43,2.101191
46.0,46,2.111647
34.0,34,2.118803
34.0,34,2.125797
46.0,46,2.134614
40.0,40,2.142482
36.0,36,2.149121
36.0,36,2.156081
60.0,60,2.167349
46.0,46,2.175509
30.0,30,2.181066
29.0,29,2.186301
42.0,42,2.194182
45.0,45,2.202399
42.0,42,2.210409
54.0,54,2.220244
53.0,53,2.230177
37.0,37,2.236633
30.0,30,2.241993
48.0,48,2.250637
36.0,36,2.256712
28.0,28,2.262387
27.0,27,2.267499
42.0,42,2.275449
41.0,41,2.283894
27.0,27,2.750115
67.0,67,2.762684
51.0,51,2.772371
41.0,41,2.779895
28.0,28,2.784999
31.0,31,2.791149
46.0,46,2.799594
50.0,50,2.808402
33.0,33,2.814308
29.0,29,2.819835
42.0,42,2.827454
32.0,32,2.832987
28.0,28,2.838144
45.0,45,2.846253
42.0,42,2.853528
42.0,42,2.860998
30.0,30,2.866214
40.0,40,2.872926
33.0,33,2.878598
40.0,40,2.886596
48.0,48,2.894638
33.0,33,2.900763
40.0,40,2.908042
33.0,33,2.913552
35.0,35,2.920033
29.0,29,2.925051
26.0,26,2.930043
46.0,46,2.938828
31.0,31,2.944325
51.0,51,2.953476
58.0,58,2.963984
42.0,42,2.971103
39.0,39,2.978248
30.0,30,2.983781
30.0,30,2.989022
62.0,62,2.99998
38.0,38,3.006496
29.0,29,3.011564
36.0,36,3.018205
