#{"t_start": 1734754598.534074, "env_id": "ContinuousCartPole-v0"}
r,l,t
34.0,34,0.258127
26.0,26,0.26138
26.0,26,0.264956
73.0,73,0.847036
36.0,36,1.188959
33.0,33,1.503108
55.0,55,2.067525
30.0,30,2.357476
50.0,50,2.833074
42.0,42,3.231575
66.0,66,3.896887
29.0,29,4.174282
37.0,37,4.525808
32.0,32,4.830659
36.0,36,5.169875
29.0,29,5.475373
68.0,68,6.121162
39.0,39,6.491253
65.0,65,7.14157
58.0,58,7.691379
30.0,30,7.976825
91.0,91,8.86926
37.0,37,9.217093
34.0,34,9.53722
30.0,30,9.821799
64.0,64,10.425045
37.0,37,10.823838
31.0,31,11.117081
42.0,42,11.514977
38.0,38,11.872358
35.0,35,12.231709
30.0,30,12.516577
33.0,33,12.830563
30.0,30,13.113019
31.0,31,13.405714
78.0,78,14.173874
33.0,33,14.486557
37.0,37,14.834656
46.0,46,15.303056
45.0,45,15.731237
36.0,36,16.072439
30.0,30,16.355359
37.0,37,16.704026
27.0,27,16.99472
37.0,37,17.352803
30.0,30,17.63609
28.0,28,17.900524
33.0,33,18.24148
45.0,45,18.667046
59.0,59,19.225004
30.0,30,19.542139
50.0,50,20.023051
29.0,29,20.298507
58.0,58,20.846763
36.0,36,21.219535
42.0,42,21.616826
61.0,61,22.192825
49.0,49,22.657456
50.0,50,23.163057
36.0,36,23.503689
64.0,64,24.116957
48.0,48,24.570995
52.0,52,25.095105
54.0,54,25.605742
69.0,69,26.256799
28.0,28,26.520671
62.0,62,27.138598
38.0,38,27.496973
35.0,35,27.829516
52.0,52,28.320794
39.0,39,28.720708
37.0,37,29.070597
36.0,36,29.412937
80.0,80,30.169735
51.0,51,30.683318
72.0,72,31.363051
47.0,47,31.816883
36.0,36,32.157278
37.0,37,32.54205
48.0,48,32.996538
69.0,69,33.648826
32.0,32,33.952264
40.0,40,34.359563
46.0,46,34.793503
47.0,47,35.236847
32.0,32,35.539469
48.0,48,36.024688
51.0,51,36.507894
88.0,88,37.339566
67.0,67,38.0254
39.0,39,38.394366
35.0,35,38.724916
75.0,75,39.434087
49.0,49,39.92917
96.0,96,40.838367
61.0,61,41.415904
53.0,53,41.917908
40.0,40,42.29672
54.0,54,42.837996
68.0,68,43.483601
49.0,49,43.94694
38.0,38,44.306232
40.0,40,44.715478
155.0,155,46.183127
45.0,45,46.609443
52.0,52,47.1028
49.0,49,47.615367
88.0,88,48.451008
49.0,49,48.913279
56.0,56,49.443837
52.0,52,49.970301
50.0,50,50.443263
51.0,51,50.925373
63.0,63,51.550798
42.0,42,51.945313
149.0,149,53.352879
126.0,126,54.589197
183.0,183,56.317023
60.0,60,56.884174
172.0,172,58.512427
67.0,67,59.145525
165.0,165,60.737633
185.0,185,62.484434
134.0,134,63.749403
126.0,126,64.973426
253.0,253,67.368412
245.0,245,69.682169
164.0,164,71.232275
193.0,193,73.101262
155.0,155,74.564982
264.0,264,77.059531
469.0,469,81.483484
356.0,356,84.879319
258.0,258,87.319058
260.0,260,89.775375
316.0,316,92.752112
287.0,287,95.504521
260.0,260,97.958517
361.0,361,101.373105
500.0,500,106.091916
470.0,470,110.583071
359.0,359,113.973391
272.0,272,116.539932
318.0,318,119.53855
325.0,325,122.649679
293.0,293,125.421582
278.0,278,128.048965
445.0,445,132.253757
423.0,423,136.283884
391.0,391,139.980154
406.0,406,143.817475
363.0,363,147.247912
385.0,385,150.973646
270.0,270,153.5268
500.0,500,158.256849
314.0,314,161.237221
351.0,351,164.612137
270.0,270,167.167029
349.0,349,170.475263
283.0,283,173.163212
500.0,500,177.931051
287.0,287,180.64775
255.0,255,183.059435
276.0,276,185.674316
481.0,481,190.273355
284.0,284,192.958682
319.0,319,195.971521
270.0,270,198.522321
486.0,486,203.16142
269.0,269,205.707799
275.0,275,208.304616
319.0,319,211.324128
304.0,304,214.231303
251.0,251,216.608263
378.0,378,220.181778
312.0,312,223.133654
322.0,322,226.253922
500.0,500,230.993343
287.0,287,233.71061
408.0,408,237.576521
236.0,236,239.843811
500.0,500,244.57401
406.0,406,248.419459
492.0,492,253.082841
413.0,413,257.021686
263.0,263,259.512776
284.0,284,262.216744
424.0,424,266.240895
338.0,338,269.502608
302.0,302,272.370716
389.0,389,276.052326
320.0,320,279.077445
275.0,275,281.739221
420.0,420,285.722171
451.0,451,289.997815
340.0,340,293.224975
368.0,368,296.741165
236.0,236,298.976415
304.0,304,301.860763
358.0,358,305.251221
281.0,281,307.955477
318.0,318,310.965164
306.0,306,313.86974
440.0,440,318.038877
289.0,289,320.832432
279.0,279,323.476209
304.0,304,326.365905
254.0,254,328.782697
325.0,325,331.92289
332.0,332,335.066456
278.0,278,337.696873
348.0,348,341.001702
302.0,302,343.924469
277.0,277,346.550865
287.0,287,349.266277
283.0,283,351.941837
500.0,500,356.72446
299.0,299,359.561372
319.0,319,362.582056
313.0,313,365.5449
283.0,283,368.277486
262.0,262,370.759291
355.0,355,374.124064
296.0,296,376.927109
320.0,320,379.992407
249.0,249,382.355037
299.0,299,385.193686
275.0,275,387.801183
349.0,349,391.14358
282.0,282,393.81968
375.0,375,397.369973
378.0,378,400.959056
479.0,479,405.542906
272.0,272,408.119114
500.0,500,412.85333
408.0,408,416.712719
253.0,253,419.142865
331.0,331,422.283297
500.0,500,427.028624
263.0,263,429.521472
285.0,285,432.255189
409.0,409,436.13454
329.0,329,439.254223
500.0,500,443.993875
500.0,500,448.78702
352.0,352,452.125754
312.0,312,455.081567
459.0,459,459.432693
337.0,337,462.666208
310.0,310,465.607394
340.0,340,468.836717
472.0,472,473.311055
319.0,319,476.373428
500.0,500,481.118446
306.0,306,484.022652
467.0,467,488.443663
415.0,415,492.411339
500.0,500,497.152028
500.0,500,501.890525
340.0,340,505.161141
500.0,500,509.97623
500.0,500,514.726596
500.0,500,519.475003
500.0,500,524.209331
298.0,298,527.069233
500.0,500,531.817271
500.0,500,536.557478
500.0,500,541.293343
500.0,500,546.067451
473.0,473,550.554263
500.0,500,555.281997
353.0,353,558.631157
417.0,417,562.631113
500.0,500,567.355423
500.0,500,572.094484
345.0,345,575.365186
500.0,500,580.138834
324.0,324,583.203887
500.0,500,587.94808
500.0,500,592.689096
500.0,500,597.486029
500.0,500,602.225024
336.0,336,605.408954
359.0,359,608.800886
473.0,473,613.325869
500.0,500,618.061547
500.0,500,622.806783
500.0,500,627.56571
500.0,500,632.342132
500.0,500,637.084479
500.0,500,641.83213
421.0,421,645.826755
500.0,500,650.606708
356.0,356,653.991373
500.0,500,658.739022
500.0,500,663.479854
500.0,500,668.270298
500.0,500,673.014144
500.0,500,677.751281
500.0,500,682.496895
387.0,387,686.208746
